city,date,product,prodcode,quantity,weight_lb,price_usd
Austin,Jan 23,Pear,4412,412,17.248574955994265,1.6607460449566134
Austin,Jan 23,Cucumber,4062,260,16.164014432299883,2.007777346891817
Austin,Jan 23,Cucumber,4062,102,6.490273691713811,2.729409760341514
Austin,Jan 23,Grapes,4272,312,20.93836752534844,2.3805298482300716
Austin,Jan 23,Corn,4078,222,17.326482938835397,1.2122528248117306
Austin,Jan 23,Tomato,4796,112,20.739427398331465,2.3027471072971823
Austin,Jan 23,Apple (Fuji),4131,497,21.649766681250185,3.235169615026098
Austin,Jan 23,Banana,4011,175,6.303204624075443,2.0967003048397603
Austin,Jan 23,Eggplant,4081,492,10.512341170385481,1.627193508797791
Austin,Jan 23,Apple (Fuji),4131,420,18.587957855733112,2.5657618107041347
Austin,Jan 23,Orange,4012,463,18.945841302722695,1.4985659105121159
Austin,Jan 23,Lychee,4309,157,4.34703579787165,1.0941710599698127
Austin,Jan 23,Mushroom,4650,144,4.5882520819548525,1.6002275762846694
Austin,Jan 23,Kiwi,4030,500,4.383739473344758,1.8101484821061604
Austin,Jan 23,Pear,4412,334,10.42514892681502,0.652324107720051
Austin,Jan 23,Avocado,4225,417,7.2707231096923355,1.4550850733183325
Austin,Jan 23,Grapes,4272,191,4.601725860964507,1.1873649259330705
Austin,Jan 23,Eggplant,4081,227,17.208036053553226,0.9622255399706774
Austin,Jan 23,Lychee,4309,431,9.491468972619623,1.3077658637892455
Austin,Jan 23,Strawberries,4323,278,11.936910399375485,2.0384407270583327
Austin,Jan 23,Kiwi,4030,137,17.002395910490307,2.507249154802412
Austin,Jan 23,Cucumber,4062,222,11.766429183492438,2.5384462471236477
Austin,Jan 23,Corn,4078,405,12.407822068873793,1.0142838384606876
Austin,Jan 23,Banana,4011,191,17.478994556702673,1.5275926555739716
Austin,Jan 23,Grapes,4272,231,20.866171201411635,2.1621550687821585
Austin,Jan 23,Lychee,4309,404,4.703560889977962,3.263199940102641
Austin,Jan 23,Orange,4012,381,6.7593209570739425,0.961532343889121
